Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_For,Age,TotalSpent,Living_With,Children,Family_Size,Is_Parent,generation
Graduate,58138.0,0,0,58,635.0,88.0,546.0,172.0,88.0,88.0,3,8,10,4,7,False,False,0,False,False,False,True,83894400000000000,65,1617.0,Alone,0,1,False,Boomers2
Graduate,46344.0,1,1,38,11.0,1.0,6.0,2.0,1.0,6.0,2,1,1,2,5,False,False,0,False,False,False,False,10800000000000000,68,27.0,Alone,2,3,True,Boomers1
Graduate,71613.0,0,0,26,426.0,49.0,127.0,111.0,21.0,42.0,1,8,2,10,4,False,False,0,False,False,False,False,40780800000000000,57,776.0,Partner,0,2,False,Gen-X
Graduate,26646.0,1,0,26,11.0,4.0,20.0,10.0,3.0,5.0,2,2,0,4,6,False,False,0,False,False,False,False,5616000000000000,38,53.0,Partner,1,3,True,Millenials
Postgraduate,58293.0,1,0,94,173.0,43.0,118.0,46.0,27.0,15.0,5,5,3,6,5,False,False,0,False,False,False,False,27734400000000000,41,422.0,Partner,1,3,True,Millenials
Postgraduate,62513.0,0,1,16,520.0,42.0,98.0,0.0,42.0,14.0,2,6,4,10,6,False,False,0,False,False,False,False,39139200000000000,55,716.0,Partner,1,3,True,Gen-X
Graduate,55635.0,0,1,34,235.0,65.0,164.0,50.0,49.0,27.0,4,7,3,7,6,False,False,0,False,False,False,False,65059200000000000,51,590.0,Alone,1,2,True,Gen-X
Postgraduate,33454.0,1,0,32,76.0,10.0,56.0,3.0,1.0,23.0,2,4,0,4,8,False,False,0,False,False,False,False,42163200000000000,37,169.0,Partner,1,3,True,Millenials
Postgraduate,30351.0,1,0,19,14.0,0.0,24.0,3.0,3.0,2.0,1,3,0,2,9,False,False,0,False,False,False,True,47347200000000000,48,46.0,Partner,1,3,True,Gen-X
Undergraduate,7500.0,0,0,59,6.0,16.0,11.0,11.0,1.0,16.0,1,2,0,3,8,False,False,0,False,False,False,False,65059200000000000,46,61.0,Partner,0,2,False,Gen-X
Graduate,63033.0,0,0,82,194.0,61.0,480.0,225.0,112.0,30.0,1,3,4,8,2,False,False,0,False,False,False,False,33350400000000000,63,1102.0,Alone,0,1,False,Boomers2
Postgraduate,59354.0,1,1,53,233.0,2.0,53.0,3.0,5.0,14.0,3,6,1,5,6,False,False,0,False,False,False,False,33350400000000000,70,310.0,Alone,2,3,True,Boomers1
Graduate,17323.0,0,0,38,3.0,14.0,17.0,6.0,1.0,5.0,1,1,0,3,8,False,False,0,False,False,False,False,67996800000000000,35,46.0,Partner,0,2,False,Millenials
Postgraduate,82800.0,0,0,23,1006.0,22.0,115.0,59.0,68.0,45.0,1,7,6,12,3,False,False,1,True,False,False,True,64108800000000000,76,1315.0,Alone,0,1,False,Boomers1
Graduate,41850.0,1,1,51,53.0,5.0,19.0,2.0,13.0,4.0,3,3,0,3,8,False,False,0,False,False,False,False,61516800000000000,42,96.0,Partner,2,4,True,Gen-X
Graduate,37760.0,0,0,20,84.0,5.0,38.0,150.0,12.0,28.0,2,4,1,6,7,False,False,0,False,False,False,False,71452800000000000,76,317.0,Partner,0,2,False,Boomers1
Postgraduate,76995.0,0,1,91,1012.0,80.0,498.0,0.0,16.0,176.0,2,11,4,9,5,False,False,0,True,False,False,False,53395200000000000,73,1782.0,Partner,1,3,True,Boomers1
Undergraduate,33812.0,1,0,86,4.0,17.0,19.0,30.0,24.0,39.0,2,2,1,3,6,False,False,0,False,False,False,False,86400000000000000,37,133.0,Alone,1,2,True,Millenials
Graduate,37040.0,0,0,41,86.0,2.0,73.0,69.0,38.0,48.0,1,4,2,5,8,False,False,0,False,False,False,False,73440000000000000,40,316.0,Partner,0,2,False,Millenials
Postgraduate,58607.0,0,1,63,867.0,0.0,86.0,0.0,0.0,19.0,3,2,3,9,8,False,True,0,False,False,False,False,61603200000000000,73,972.0,Partner,1,3,True,Boomers1
Postgraduate,65324.0,0,1,0,384.0,0.0,102.0,21.0,32.0,5.0,3,6,2,9,4,False,False,0,False,False,False,False,3024000000000000,68,544.0,Partner,1,3,True,Boomers1
Graduate,40689.0,0,1,69,270.0,3.0,27.0,39.0,6.0,99.0,7,7,1,5,8,False,False,0,False,False,False,False,54259200000000000,71,444.0,Partner,1,3,True,Boomers1
Graduate,18589.0,0,0,89,6.0,4.0,25.0,15.0,12.0,13.0,2,2,1,3,7,False,False,0,False,False,False,False,58147200000000000,53,75.0,Alone,0,1,False,Gen-X
Graduate,53359.0,1,1,4,173.0,4.0,30.0,3.0,6.0,41.0,4,5,1,4,7,False,False,0,False,False,False,False,48211200000000000,46,257.0,Partner,2,4,True,Gen-X
Graduate,38360.0,1,0,26,36.0,2.0,42.0,20.0,21.0,10.0,2,2,1,4,3,False,False,0,False,False,False,False,47865600000000000,33,131.0,Partner,1,3,True,Millenials
Postgraduate,84618.0,0,0,96,684.0,100.0,801.0,21.0,66.0,0.0,1,6,9,10,2,False,False,1,False,False,False,False,32745600000000000,57,1672.0,Partner,0,2,False,Gen-X
Postgraduate,10979.0,0,0,34,8.0,4.0,10.0,2.0,2.0,4.0,2,3,0,3,5,False,False,0,False,False,False,False,17107200000000000,33,30.0,Alone,0,1,False,Millenials
